id,city,name,country,lastUpdated,firstUpdated,coordinates.latitude,coordinates.longitude,parameterIds,has_pm25,has_pm10,has_so2,has_no,has_o3,sensorCount,metroArea
4296,MADRID,SANCHINARRO,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.49416666013708,-3.660277769835259,"[2, 5, 6, 19843, 1, 4]",1,1,1,1,0,4,Madrid
4323,MADRID,ESCUELAS AGUIRRE,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.42166665995589,-3.682222219837608,"[19843, 6, 1, 2, 3, 4, 5]",1,1,1,1,1,5,Madrid
4312,MADRID,ENSANCHE DE VALLECAS,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.3727777702012,-3.6119444396910185,"[3, 19843, 5]",0,0,0,1,1,2,Madrid
4287,MADRID,TRES OLIVOS,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.50055555025528,-3.689722220008741,"[3, 5, 1, 19843]",0,1,0,1,1,3,Madrid
4258,MADRID,BARRIO DEL PILAR,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.47833333020461,-3.7113888803825215,"[4, 5, 3, 19843]",0,0,0,1,1,2,Madrid
4314,MADRID,RETIRO,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.40972221972217,-3.685555549853365,"[5, 3, 19843]",0,0,0,1,1,2,Madrid
4328,MADRID,PLAZA ELÍPTICA,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.38470000028444,-3.7186000003245874,"[5, 4, 2, 1, 19843, 3]",1,1,0,1,1,4,Madrid
3295,MADRID,RAMÓN Y CAJAL,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.45166665984245,-3.6772222203223963,"[19843, 5]",0,0,0,1,0,1,Madrid
4285,MADRID,CUATRO CAMINOS-PABLO IGLESIAS,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.44527776982108,-3.7063888799689946,"[5, 2, 1, 6, 19843]",1,1,1,1,0,4,Madrid
3223,MADRID,PLAZA DE ESPAÑA,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.424166659847046,-3.712222219623825,"[6, 5, 19843, 4]",0,0,1,1,0,2,Madrid
2162414,POZUELO DE ALARCÓN,POZUELO DE ALARCÓN,ES,2024-09-05T22:00:00+00:00,2024-01-28T23:00:00+00:00,40.449100000228725,-3.803699999727139,"[5, 3, 2]",1,0,0,0,1,2,Madrid
4318,MADRID,PLAZA DEL CARMEN,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.41916666016447,-3.703333329700339,"[19843, 3, 6, 5, 4]",0,0,1,1,1,3,Madrid
4317,MADRID,PUENTE DE VALLECAS,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.388055549727234,-3.6513888799117717,"[5, 19843, 1, 6]",0,1,1,1,0,3,Madrid
4329,MADRID,MORATALAZ,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.408055549902954,-3.6452777703913077,"[19843, 4, 6, 1, 5]",0,1,1,1,0,3,Madrid
4320,MADRID,PLAZA CASTILLA-CANAL,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.465833329674865,-3.6883333302563877,"[5, 1, 2, 19843]",1,1,0,1,0,3,Madrid
4264,MADRID,VILLAVERDE,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.34694443977103,-3.705000000098109,"[5, 3, 19843, 6]",0,0,1,1,1,3,Madrid
4342,MADRID,JUAN CARLOS I,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.465000000052974,-3.60888888043921,"[19843, 5, 3]",0,0,0,1,1,2,Madrid
4327,MADRID,FAROLILLO,ES,2024-09-05T22:00:00+00:00,2023-05-06T02:00:00+00:00,40.394722220244205,-3.731944439734202,"[5, 19843, 3, 1]",0,1,0,1,1,3,Madrid
4331,MADRID,MENDEZ ALVARO,ES,2024-09-05T22:00:00+00:00,2023-05-06T02:00:00+00:00,40.39805555018832,-3.6866666598586177,"[1, 2, 5, 19843]",1,1,0,1,0,3,Madrid
4275,MADRID,CASTELLANA,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.439722219952834,-3.690277769621476,"[1, 5, 2, 19843]",1,1,0,1,0,3,Madrid
2162441,POZUELO DE ALARCÓN,POZUELO DE ALARCÓN,ES,2024-09-05T22:00:00+00:00,2024-01-29T01:00:00+00:00,40.449100000228725,-3.803699999727139,"[19843, 3, 5, 2]",1,0,0,1,1,3,Madrid
4274,MADRID,CASA DE CAMPO,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.42000000010348,-3.7491666600869733,"[2, 19843, 4, 6, 5, 3, 1]",1,1,1,1,1,5,Madrid
4249,MADRID,ARTURO SORIA,ES,2024-09-05T22:00:00+00:00,2016-11-18T00:00:00+00:00,40.440000000283234,-3.6391666599725285,"[3, 4, 19843, 5]",0,0,0,1,1,2,Madrid
2826460,,Invernadero SinCO2,ES,2024-08-16T16:00:00+00:00,2024-05-10T14:00:00+00:00,40.4515299,-3.722884,"[2, 19, 98, 100, 125, 1]",1,1,0,0,0,2,Madrid
2826464,,Invernadero ConCO2,ES,2024-06-19T00:00:00+00:00,2024-05-10T14:00:00+00:00,40.4515299,-3.722884,"[98, 1, 125, 100, 19, 2]",1,1,0,0,0,2,Madrid
