id,location,lat,lon,day,time,pm25,pm10,s02,no,o3,so2
4318,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,2024-09-02,22:00,,,,3.0,80.0,3.0
154,London Marylebone Road,51.52253,-0.154611,2024-09-03,17:00,5.0,10.0,,,23.0,1.0
4767,Berlin Frankfurter Allee,52.51407199975142,13.469930999635912,2024-09-02,22:00,11.93,23.57,,16.78,86.74,0.86
7529,Arenula,41.894020000000005,12.475368000000001,2024-09-02,21:00,15.0,22.0,,1.0,36.0
4593,Kallio 2,60.18738999936924,24.95060000011991,2024-09-02,22:00,9.182148,12.44678,,,51.11603,0.456883
4318,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,2024-09-02,22:00,,,,3.0,80.0,3.0
154,London Marylebone Road,51.52253,-0.154611,2024-09-03,17:00,5.0,10.0,,,23.0,1.0
4767,Berlin Frankfurter Allee,52.51407199975142,13.469930999635912,2024-09-02,22:00,11.93,23.57,,16.78,86.74,0.86
7529,Arenula,41.894020000000005,12.475368000000001,2024-09-02,21:00,15.0,22.0,,1.0,36.0
4593,Kallio 2,60.18738999936924,24.95060000011991,2024-09-02,22:00,9.182148,12.44678,,,51.11603,0.456883
4318,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,2024-09-02,22:00,,,,3.0,80.0,3.0
154,London Marylebone Road,51.52253,-0.154611,2024-09-03,17:00,5.0,10.0,,,23.0,1.0
4767,Berlin Frankfurter Allee,52.51407199975142,13.469930999635912,2024-09-02,22:00,11.93,23.57,,16.78,86.74,0.86
7529,Arenula,41.894020000000005,12.475368000000001,2024-09-02,21:00,15.0,22.0,,1.0,36.0
4593,Kallio 2,60.18738999936924,24.95060000011991,2024-09-02,22:00,9.182148,12.44678,,,51.11603,0.456883
4318,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,2024-09-02,22:00,,,,3.0,80.0,3.0
154,London Marylebone Road,51.52253,-0.154611,2024-09-03,17:00,5.0,10.0,,,23.0,1.0
4767,Berlin Frankfurter Allee,52.51407199975142,13.469930999635912,2024-09-02,22:00,11.93,23.57,,16.78,86.74,0.86
7529,Arenula,41.894020000000005,12.475368000000001,2024-09-02,21:00,15.0,22.0,,1.0,36.0
4593,Kallio 2,60.18738999936924,24.95060000011991,2024-09-02,22:00,9.182148,12.44678,,,51.11603,0.456883
4318,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,2024-09-02,22:00,,,,,
154,London Marylebone Road,51.52253,-0.154611,2024-09-03,17:00,,,,,
4767,Berlin Frankfurter Allee,52.51407199975142,13.469930999635912,2024-09-02,22:00,,,,,
7529,Arenula,41.894020000000005,12.475368000000001,2024-09-02,21:00,,,,,
4593,Kallio 2,60.18738999936924,24.95060000011991,2024-09-02,22:00,,,,,
4318,PLAZA DEL CARMEN,40.41916666016447,-3.703333329700339,2024-09-02,22:00,,,,3.0,80.0,3.0
154,London Marylebone Road,51.52253,-0.154611,2024-09-03,17:00,5.0,10.0,,,23.0,1.0
4767,Berlin Frankfurter Allee,52.51407199975142,13.469930999635912,2024-09-02,22:00,11.93,23.57,,16.78,86.74,0.86
7529,Arenula,41.894020000000005,12.475368000000001,2024-09-02,21:00,15.0,22.0,,1.0,36.0
4593,Kallio 2,60.18738999936924,24.95060000011991,2024-09-02,22:00,9.182148,12.44678,,,51.11603,0.456883
