id,location,city,country,lat,lon,day,time,pm25,pm10,so2,no,o3
9741,Engolasters,Andorra la Vella,AD,42.51694399984486,1.5652500003218537,2024-09-10,22:00,,,,,84.7
9742,Escaldes-Engordany,Andorra la Vella,AD,42.50969400015972,1.539137999815149,2024-09-10,22:00,10.8,15.2,1.3,16.9,27.7
2960620,"101/2 Artashat street, Yerevan, Armenia",Yerevan,AM,40.10854,44.47083,2024-09-11,01:55,34.13,,,,
2960624,"82/5 Aytsemnik Urartu street, Yerevan, Armenia",Yerevan,AM,40.17785,44.54284,2024-09-11,02:00,13.55,,,,
2960655,"37/47 Lukashin street, Yerevan, Armenia",Yerevan,AM,40.19366,44.447,2024-09-11,02:01,16.24,,,,
2960666,"5 E.Mirzoyan street, Yerevan, Armenia",Yerevan,AM,40.19635,44.50789,2024-09-11,02:01,15.05,,,,
2960634,"23/18 Leningradyan street, Yerevan, Armenia",Yerevan,AM,40.18961,44.47152,2024-09-11,01:52,15.21,,,,
2960629,"25 D.Anhaght street, Yerevan, Armenia",Yerevan,AM,40.20032,44.53688,2024-09-11,02:06,18.56,,,,
2960631,"12 G.Emin street, Yerevan, Armenia",Yerevan,AM,40.19469,44.50967,2024-09-11,02:04,14.08,,,,
2960670,"32 Aram street, Yerevan, Armenia",Yerevan,AM,40.18123,44.51389,2024-09-11,01:59,15.96,,,,
2960669,"27/3 Arshakunyats street, Yerevan, Armenia",Yerevan,AM,40.15796,44.50491,2024-09-11,02:02,17.38,,,,
2960621,"61 Davtashen 1-st street, Yerevan, Armenia",Yerevan,AM,40.21921,44.48644,2024-09-11,01:51,17.53,,,,
2960639,"32 Aram street, Yerevan, Armenia",Yerevan,AM,40.18095,44.51361,2024-09-11,01:59,15.77,,,,
2960657,"12 G.Emin street, Yerevan, Armenia",Yerevan,AM,40.19441,44.5096,2024-09-11,01:59,8.51,,,,
2960667,"4 Tsitsernakaberd street, Yerevan, Armenia",Yerevan,AM,40.18257,44.48123,2024-09-11,01:56,15.44,,,,
2960660,"22/1 Isakov street, Yerevan, Armenia",Yerevan,AM,40.15758,44.45989,2024-09-11,01:59,16.38,,,,
2960662,"64/7 G.Hovsepyan street, Yerevan, Armenia",Yerevan,AM,40.17452,44.53518,2024-09-11,02:05,2.53,,,,
2960649,"24 Nansen street, Yerevan, Armenia",Yerevan,AM,40.19745,44.55741,2024-09-11,01:55,12.31,,,,
2960636,"82/5 Aytsemnik Urartu street, Yerevan, Armenia",Yerevan,AM,40.17792,44.54339,2024-09-11,01:51,13.43,,,,
2960663,"1/4 Alma-Ata street, Yerevan, Armenia",Yerevan,AM,40.21882,44.57652,2024-09-11,01:57,17.25,,,,
2960623,"45/1 Ulnetsi street, Yerevan, Armenia",Yerevan,AM,40.20251,44.53304,2024-09-11,02:01,20.46,,,,
2960645,"27/3 Arshakunyats street, Yerevan, Armenia",Yerevan,AM,40.15765,44.50447,2024-09-11,01:51,15.35,,,,
2960638,"136/2 Verin antarayin street, Yerevan, Armenia",Yerevan,AM,40.19815,44.5099,2024-09-11,02:01,15.38,,,,
2960635,"1/4 Alma-Ata street, Yerevan, Armenia",Yerevan,AM,40.21918,44.57564,2024-09-11,02:01,24.23,,,,
2960672,"24 Nansen street, Yerevan, Armenia",Yerevan,AM,40.19762,44.55647,2024-09-11,01:56,5.92,,,,
2960642,"45/1 Ulnetsi street, Yerevan, Armenia",Yerevan,AM,40.20288,44.53361,2024-09-11,02:01,18.46,,,,
2960664,"2 Tsitsernakaberd street, Yerevan, Armenia",Yerevan,AM,40.1814,44.48077,2024-09-11,02:00,14.63,,,,
2960650,"21 S.Grigoryan street, Yerevan, Armenia",Yerevan,AM,40.20127,44.51569,2024-09-11,01:59,17.82,,,,
2960651,"25 D.Anhaght street, Yerevan, Armenia",Yerevan,AM,40.2,44.53648,2024-09-11,02:04,14.01,,,,
2960643,"23/18 Leningradyan street, Yerevan, Armenia",Yerevan,AM,40.18906,44.472,2024-09-11,01:52,12.8,,,,
2960668,"3 Tsitsernakaberd street, Yerevan, Armenia",Yerevan,AM,40.18233,44.48088,2024-09-11,02:00,16.91,,,,
2960656,"15/1 Nzhdeh street, Yerevan, Armenia",Yerevan,AM,40.15183,44.48587,2024-09-11,01:59,15.92,,,,
