id,city,name,country,lastUpdated,firstUpdated,coordinates.latitude,coordinates.longitude,parameterIds,has_pm25,has_pm10,has_so2,has_no,has_o3,sensorCount,metroArea
9741.0,Engolasters,Engolasters,AD,2024-09-10T22:00:00+00:00,2017-09-14T23:00:00+00:00,42.51694399984486,1.5652500003218535,[3],0.0,0.0,0.0,0.0,1.0,1.0,Andorra la Vella
9742.0,Escaldes-Engordany,Escaldes-Engordany,AD,2024-09-10T22:00:00+00:00,2017-09-14T23:00:00+00:00,42.50969400015972,1.5391379998151493,"[1, 5, 6, 19843, 3, 4, 2]",1.0,1.0,1.0,1.0,1.0,5.0,Andorra la Vella
2960631.0,,"12 G.Emin street, Yerevan, Armenia",AM,2024-09-11T06:06:48+00:00,2024-07-29T00:00:00+00:00,40.19469,44.50967,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960641.0,,"17 Griboyedov street, Yerevan, Armenia",AM,2024-09-11T06:06:17+00:00,2024-07-29T00:00:00+00:00,40.21069,44.514,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960655.0,,"37/47 Lukashin street, Yerevan, Armenia",AM,2024-09-11T06:06:09+00:00,2024-07-29T00:00:00+00:00,40.19366,44.447,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960624.0,,"82/5 Aytsemnik Urartu street, Yerevan, Armenia",AM,2024-09-11T06:05:27+00:00,2024-07-29T00:00:00+00:00,40.17785,44.54284,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960627.0,,"192 Arshakunyats street, Yerevan, Armenia",AM,2024-09-11T06:04:37+00:00,2024-07-29T00:00:00+00:00,40.14499,44.49662,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960629.0,,"25 D.Anhaght street, Yerevan, Armenia",AM,2024-09-11T06:04:36+00:00,2024-07-29T00:00:00+00:00,40.20032,44.53688,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960669.0,,"27/3 Arshakunyats street, Yerevan, Armenia",AM,2024-09-11T06:04:36+00:00,2024-07-29T00:00:00+00:00,40.15796,44.50491,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960665.0,,"27/16 Rubinyants street, Yerevan, Armenia",AM,2024-09-11T06:04:01+00:00,2024-07-29T00:00:00+00:00,40.20648,44.55281,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960662.0,,"64/7 G.Hovsepyan street, Yerevan, Armenia",AM,2024-09-11T06:03:52+00:00,2024-07-29T00:00:00+00:00,40.17452,44.53518,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960658.0,,"21 S.Grigoryan street, Yerevan, Armenia",AM,2024-09-11T06:03:38+00:00,2024-07-29T00:00:00+00:00,40.20107,44.51587,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960632.0,,"136/2 Verin antarayin street, Yerevan, Armenia",AM,2024-09-11T06:03:34+00:00,2024-07-29T00:00:00+00:00,40.19758,44.51112,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960671.0,,"15/5 Davtashen 10-th street, Yerevan, Armenia",AM,2024-09-11T06:03:29+00:00,2024-07-29T00:00:00+00:00,40.22014,44.48396,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960639.0,,"32 Aram street, Yerevan, Armenia",AM,2024-09-11T06:03:08+00:00,2024-07-29T00:00:00+00:00,40.18095,44.51361,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960660.0,,"22/1 Isakov street, Yerevan, Armenia",AM,2024-09-11T06:02:38+00:00,2024-07-29T00:00:00+00:00,40.15758,44.45989,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960664.0,,"2 Tsitsernakaberd street, Yerevan, Armenia",AM,2024-09-11T06:02:25+00:00,2024-07-29T00:00:00+00:00,40.1814,44.48077,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960672.0,,"24 Nansen street, Yerevan, Armenia",AM,2024-09-11T06:01:26+00:00,2024-07-29T00:00:00+00:00,40.19762,44.55647,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960625.0,,"15/1 Nzhdeh street, Yerevan, Armenia",AM,2024-09-11T06:00:45+00:00,2024-07-29T00:00:00+00:00,40.15192,44.48662,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960670.0,,"32 Aram street, Yerevan, Armenia",AM,2024-09-11T06:00:44+00:00,2024-07-29T00:00:00+00:00,40.18123,44.51389,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960635.0,,"1/4 Alma-Ata street, Yerevan, Armenia",AM,2024-09-11T06:00:11+00:00,2024-07-29T00:00:00+00:00,40.21918,44.57564,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960659.0,,"61 Davtashen 1-st street, Yerevan, Armenia",AM,2024-09-11T06:00:11+00:00,2024-07-29T00:00:00+00:00,40.21913,44.48568,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960668.0,,"3 Tsitsernakaberd street, Yerevan, Armenia",AM,2024-09-11T05:59:34+00:00,2024-07-29T00:00:00+00:00,40.18233,44.48088,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960620.0,,"101/2 Artashat street, Yerevan, Armenia",AM,2024-09-11T05:59:21+00:00,2024-07-29T00:00:00+00:00,40.10854,44.47083,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960642.0,,"45/1 Ulnetsi street, Yerevan, Armenia",AM,2024-09-11T05:59:15+00:00,2024-07-29T00:00:00+00:00,40.20288,44.53361,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960638.0,,"136/2 Verin antarayin street, Yerevan, Armenia",AM,2024-09-11T05:59:09+00:00,2024-07-29T00:00:00+00:00,40.19815,44.5099,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960626.0,,"22 Dro street, Yerevan, Armenia",AM,2024-09-11T05:59:02+00:00,2024-07-29T00:00:00+00:00,40.20564,44.54468,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960633.0,,"19 Nork street, Yerevan, Armenia",AM,2024-09-11T05:58:49+00:00,2024-07-29T00:00:00+00:00,40.19203,44.54306,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960652.0,,"22 Dro street, Yerevan, Armenia",AM,2024-09-11T05:58:44+00:00,2024-07-29T00:00:00+00:00,40.20529,44.54433,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960663.0,,"1/4 Alma-Ata street, Yerevan, Armenia",AM,2024-09-11T05:58:40+00:00,2024-07-29T00:00:00+00:00,40.21882,44.57652,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960653.0,,"19 Nork street, Yerevan, Armenia",AM,2024-09-11T05:58:20+00:00,2024-07-29T00:00:00+00:00,40.19189,44.54274,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960656.0,,"15/1 Nzhdeh street, Yerevan, Armenia",AM,2024-09-11T05:58:02+00:00,2024-07-29T00:00:00+00:00,40.15183,44.48587,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960661.0,,"17 Griboyedov street, Yerevan, Armenia",AM,2024-09-11T05:57:42+00:00,2024-07-29T00:00:00+00:00,40.21142,44.51274,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960650.0,,"21 S.Grigoryan street, Yerevan, Armenia",AM,2024-09-11T05:57:25+00:00,2024-07-29T00:00:00+00:00,40.20127,44.51569,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960630.0,,"5 E.Mirzoyan street, Yerevan, Armenia",AM,2024-09-11T05:57:14+00:00,2024-07-29T00:00:00+00:00,40.19611,44.50853,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
2960657.0,,"12 G.Emin street, Yerevan, Armenia",AM,2024-09-11T05:57:03+00:00,2024-07-29T00:00:00+00:00,40.19441,44.5096,[2],1.0,0.0,0.0,0.0,0.0,1.0,Yerevan
