id,day,time
0,2017-09-11,08:00
1,2017-09-11,07:00
2,2024-09-11,06:00
3,2023-10-11,10:00
4,2023-08-03,13:00
5,2023-06-22,18:00
6,2024-09-11,05:00
7,2024-09-10,21:00
8,2024-09-09,00:00
9,2024-09-06,00:00
10,2024-01-29,18:00
11,2024-01-29,17:00
12,2024-01-29,16:00
13,2024-09-05,10:00
14,2024-09-04,00:00
15,2024-08-14,09:00
16,2024-05-31,11:00
17,2024-05-20,18:00
18,2024-03-04,10:00
19,2023-12-30,23:00
20,2017-03-29,16:00
21,2016-12-12,09:00
22,2024-09-11,06:03
23,2024-09-09,22:00
24,2024-09-10,22:00
25,2023-04-05,19:00
26,2024-09-11,02:00
27,2024-06-28,22:00
28,2023-12-09,02:00
29,2024-03-30,09:00
30,2021-03-11,13:00
31,2024-09-11,06:28
32,2024-09-11,04:00
33,2024-09-10,15:05
34,2024-09-10,15:04
35,2024-09-10,13:05
36,2024-09-10,07:00
37,2024-09-09,21:00
38,2024-09-08,23:00
39,2024-09-08,17:00
40,2024-09-08,01:00
41,2024-09-05,07:00
42,2024-08-28,00:00
43,2024-08-19,08:00
44,2024-08-01,18:00
45,2024-08-01,10:00
46,2024-04-09,10:00
47,2024-04-02,10:00
48,2024-03-28,14:00
49,2024-01-24,11:00
50,2024-01-08,08:00
51,2023-11-15,04:00
52,2023-10-09,07:00
53,2023-07-26,20:00
54,2023-07-08,06:00
55,2023-07-04,07:00
56,2023-07-03,12:00
57,2023-07-03,11:00
58,2023-07-03,10:00
59,2023-06-30,03:00
60,2023-06-06,14:00
61,2023-06-06,13:00
62,2023-05-05,09:00
63,2023-04-05,11:00
64,2023-02-16,00:00
65,2023-01-10,13:00
66,2022-07-18,12:00
67,2022-06-28,11:00
68,2020-12-01,00:00
69,2016-12-21,11:00
70,2024-09-10,10:00
71,2022-10-04,19:00
72,2020-12-30,12:00
73,2017-01-08,07:00
74,2024-07-30,11:00
75,2024-07-30,10:00
76,2024-09-06,20:00
77,2023-12-31,21:00
78,2023-10-31,08:00
79,2021-07-05,01:00
80,2024-08-16,16:00
81,2024-06-19,00:00
82,2024-06-14,14:00
83,2024-01-29,20:00
84,2024-09-05,22:00
85,2024-09-05,00:00
86,2024-02-18,16:00
87,2023-02-02,00:00
88,2022-12-29,03:51
89,2024-09-07,21:00
90,2024-09-05,04:00
91,2024-03-26,13:00
92,2021-10-01,15:00
93,2017-06-06,16:00
94,2016-09-07,15:00
95,2024-09-11,06:43
96,2024-09-11,06:06
97,2024-09-11,06:05
98,2024-09-11,06:04
99,2024-09-11,06:02
100,2024-09-11,06:01
101,2024-09-11,05:59
102,2024-09-11,05:58
103,2024-09-11,05:57
104,2024-01-17,12:00
105,2019-12-31,01:00
106,2024-09-11,05:56
107,2024-09-11,05:55
108,2024-09-11,05:54
109,2024-09-11,05:53
110,2024-09-11,05:52
111,2024-09-11,05:51
112,2024-09-11,05:50
113,2024-09-11,05:49
114,2024-08-26,09:59
115,2024-07-29,11:03
116,2024-07-29,10:52
117,2024-07-24,10:35
118,2023-06-15,13:00
119,2024-01-29,19:00
120,2024-09-11,06:58
121,2024-09-11,07:00
122,2024-09-11,08:00
123,2024-09-06,22:00
124,2022-03-25,02:00
125,2024-03-11,12:00
126,2024-03-11,11:00
127,2018-04-30,17:00
128,2021-05-18,06:00
129,2018-10-13,21:00
130,2024-09-10,12:52
131,2024-09-10,12:54
132,2024-09-10,12:53
133,2024-09-10,12:51
134,2024-09-10,13:03
135,2024-09-10,13:06
136,2024-09-10,09:04
137,2024-09-10,13:02
138,2024-09-10,12:50
139,2024-09-10,13:00
140,2024-09-10,12:56
141,2024-09-10,12:49
142,2024-09-10,12:59
143,2024-09-10,12:58
144,2024-09-10,13:01
145,2024-09-10,12:57
146,2024-09-10,08:59
147,2024-09-10,08:58
148,2024-09-10,08:57
149,2024-09-10,08:56
150,2024-09-10,12:55
151,2024-09-10,08:55
152,2024-09-10,08:52
153,2024-09-10,08:51
154,2024-09-10,08:50
155,2024-09-10,08:49
156,2024-09-10,08:00
157,2024-08-27,13:00
158,2024-08-08,08:00
159,2021-01-05,01:00
160,2020-12-08,01:00
161,2024-09-10,12:00
162,2024-07-12,07:00
163,2024-05-20,07:00
164,2024-09-10,13:14
165,2024-09-09,23:00
166,2024-04-05,08:00
167,2023-08-07,04:00
168,2024-09-08,22:00
169,2024-09-08,21:00
170,2022-01-03,09:00
171,2018-12-09,22:00
172,2024-08-09,12:00
173,2023-09-25,16:46
174,2024-03-19,21:00
175,2024-09-10,04:00
176,2024-04-29,09:00
177,2024-02-26,10:00
178,2024-02-14,09:00
179,2024-02-13,15:00
180,2023-08-03,07:00
181,2023-01-03,12:00
182,2021-06-18,00:00
183,2019-07-09,06:00
184,2018-05-28,11:00
185,2018-04-12,00:00
186,2024-09-10,11:00
187,2024-09-04,12:00
188,2020-05-05,23:00
189,2024-09-07,22:00
190,2024-06-20,06:00
191,2024-06-11,04:00
192,2024-01-26,12:00
193,2022-10-25,20:00
194,2020-12-11,14:00
195,2018-01-08,09:00
196,2024-09-09,01:00
197,2024-09-07,23:00
198,2024-09-06,06:00
199,2024-09-10,23:00
200,2022-11-29,11:00
201,2021-04-20,21:00
202,2024-04-02,11:00
203,2024-02-20,10:00
