id,pm25,pm10,so2,no,o3
0,,14.0,,,
1,,,,,
2,,,6.6,,
3,,88.0,,,
4,,,,,
5,,,,,
6,,28.0,3.3,,
7,,,4.8,,
8,,20.0,2.2,,
9,,,,,
10,,,,,
11,,,6.1,,
12,,59.0,1.3,,
13,,,1.3,,
14,,,,,
15,,,1.3,,
16,37.125000635782875,43.1333335240682,,,
17,11.0,43.85,4.2,,0.6
18,27.3,32.648,3.0,,6.243
19,32.4,23.675,2.4,,27.313
20,,25.156,,,
21,16.6,16.175,2.9,,16.65
22,23.6,15.93,4.77,,24.75
23,,37.683,,,8.683
24,10.261,,26.283,,14.831
25,6.9,24.838,4.98,,34.8
26,,40.281,,,
27,23.2,19.813,3.6,,21.575
28,10.0,26.7,6.3,,14.8
29,12.5,19.021,3.5,,
30,,89.929,,,25.0
31,15.479166746139526,,,,
32,,,,,
33,3.737499992052714,,,,
34,3.6208333571751914,,,,
35,2.1793154875437417,2.430357128381729,,,
36,3.4416666428248086,,,,
37,1.7537202139695485,2.252083331346512,,,
38,2.915476222832998,3.1203869382540383,,,
39,1.8273809452851613,2.2023809452851615,,,
40,2.612202376127243,2.9133928219477334,,,
41,3.3895832896232605,,,,
42,10.0,19.0,1.0,,23.0
43,5.0,11.0,20.0,,38.0
44,3.0,12.6,,,
45,,52.0,,,
46,8.0,15.0,,,
47,3.2,6.4,,,25.6
48,,,,,
49,,,,,40.0
50,4.0,,,,37.0
51,5.4,12.0,,,
52,5.0,11.0,0.0,,33.0
53,9.0,11.6,,,
54,5.0,14.0,,,
55,,4.3,,,
56,,6.0,,,23.4
57,10.0,,,,
58,11.0,11.0,,,
59,4.1,10.1,,,
60,,53.0,,0.0,68.0
61,13.0,69.0,,1.0,62.0
62,,44.0,,4.0,
63,,43.0,-1.0,1.0,68.0
64,17.0,54.0,,1.0,46.0
65,,49.0,,6.0,
66,,51.0,,0.0,
67,11.0,40.0,3.2,0.0,60.0
68,16.0,49.0,,1.0,38.0
69,7.0,22.0,3.5,2.0,37.0
70,,,,,
71,,,,,45.0
72,,,,,20.0
73,,,2.0,,10.0
74,13.0,,,,
75,6.4625000556310015,6.5625,,,
76,10.54300586382548,11.031845291455587,,,
77,27.69166660308838,29.104166507720947,,,
78,-1.0,-1.0,,,
79,,,-1.0,1.52515888,-1.0
80,-1.0,-1.0,,,-1.0
81,-1.0,-1.0,,,
82,,,-1.0,1.68015456,-1.0
83,,,-1.0,,
84,-1.0,-1.0,-1.0,,
85,-1.0,-1.0,-1.0,,
86,-1.0,-1.0,,,
87,,,4.51885604,0.67345845,-1.0
88,-1.0,-1.0,,,
89,-1.0,-1.0,,,
90,-1.0,-1.0,,,
91,-1.0,-1.0,-1.0,,
92,,,,,
93,-1.0,-1.0,-1.0,,
94,,,,,
95,5.175299,7.9263,,2.54380249,39.284
96,13.243492126464844,13.45027780532837,,,
97,,,,,
98,9.18939971,20.22299957,,,
99,7.78544998,9.87944984,,,6.053
100,,,,,
101,,8.0,,,
102,,,3.0,,53.0
103,,11.0,,,
104,,8.0,4.0,,
105,,10.0,,,
106,,8.0,,,38.0
107,,11.0,,,
108,,9.0,4.0,,
109,,10.0,,,
110,,,,,
111,,10.0,,,
112,,,3.0,,45.0
113,,9.0,5.0,,
114,,,,,
115,3.22,,,,
116,2.608333339293798,2.675000011920929,,,
117,4.423,,,11.196,
118,,9.158,7.109,7.076,
119,,14.434,,58.964,
120,,9.90317,-1.0,,69.65278
121,,14.14625,-1.0,,
122,,7.17872,6.152377,,
123,9.0,19.0,2.4,,22.0
124,,17.0,3.3,,15.1
125,4.0,5.0,8.6,,13.9
126,6.058333357175191,6.24999996026357,,,
127,,19.0,,2.0,
128,,4.0,3.0,2.0,87.0
129,,24.0,,1.0,30.0
130,,,,1.0,
131,,8.0,,1.0,
132,8.0,16.0,1.0,1.0,58.0
133,,20.0,,1.0,88.0
134,,,3.0,2.0,
135,,,3.0,2.0,22.0
136,,24.0,,,
137,11.0,23.0,1.0,1.0,86.0
138,,,,2.0,
139,,,2.0,,61.0
140,,10.0,,8.0,55.0
141,,25.0,2.0,4.0,67.0
142,,,3.0,,
143,8.965277791023254,11.520833333333334,,,
144,,28.0,,,
145,0.25,1.6,,3.55,63.03
146,2.53,2.97,,1.88,64.44
147,3.38,5.42,4.69,9.0,57.14
148,2.31,4.99,,64.76,0.0
149,,,,2.54,60.94
150,8.223611195882162,9.123611052831016,,,
151,7.212500015894572,7.462499936421712,,,
152,2.7,4.6,9.1,1.0,50.9
153,,4.3,,5.7,
154,,10.8,,7.4,10.4
155,,10.0,,,
156,,3.1,,2.1,
157,3.0,7.5,,,50.5
158,,2.7,,,44.7
159,,15.1,,14.6,
160,,7.0,,1.9,44.1
161,3.5,3.7,5.6,1.0,47.9
162,,8.3,,29.0,
163,,8.8,,3.9,
164,4.0,177.0,,,
165,2.53086,12.1242819,,,
166,,,,,51.6301727
167,-1.0,33.8,,,
168,,11.6557322,,,81.6447144
169,9.4,19.3,3.169193,,70.74753
170,20.9,,,,
171,,,,,
172,18.81,18.9,,,
173,4.03,4.03,,,
174,,15.25,7.68,7.05,
175,,33.25,6.24,12.36,59.28
176,3.29,-1.0,6.85,2.44,110.4
177,-1.0,20.74,5.05,,44.37
178,,10.67,14.5,,65.43
179,,15.22,5.54,8.97,62.24
180,,10.4,,,
181,4.0,26.4,,,
182,,4.9,,,
183,3.9,14.0,,,
184,4.3,12.0,,,
185,8.0,,,,
186,3.7,9.1,,,
187,3.9,7.3,,,
188,,6.0,,,
189,5.0,,,,
190,,13.4,,,
191,,9.6,,,
192,5.7,8.5,,,
193,,11.8,,,
194,3.7,7.4,,,31.6
195,,10.0,,,
196,,10.0,,,
197,3.41,,,,
198,2.77,,,,
199,4.17,,,,
200,4.1,,,,
201,,,,,
202,22.9,228.2,,,27.4
203,6.1,23.2,,,
204,,,,,30.3
205,0.0,0.0,,,
206,,30.0,,,
207,,6.3,,,
208,15.614583253860474,41.03685474395752,,,
209,,18.7,,,
210,26.0699405670166,26.928571224212646,,,
211,21.0,51.0,,,
212,,,,,
213,1.0,9.0,,,
214,10.0,13.0,,,
215,,,,,
216,,,,,7.9
217,,,,,
218,,,,,
219,,,,,
220,,4.0,4.5,,
221,9.0,14.6,,,24.7
222,,,,,49.9
223,,18.0,,,
224,6.0,,,,
225,,17.0,,,
226,8.0,6.0,,,
227,,16.0,,,
228,,21.0,,,
229,,,,,
230,,10.0,,,
231,21.0,14.9,,,44.0
232,,,,,
233,,,,,
234,,29.0,,,
235,,43.0,,,
236,,28.0,,,
237,33.07,,,19.37,
238,3.6,,,11.05,
239,4.5,,,13.21,
240,,,,,17.161
241,25.33184512456258,26.07261912027995,,,
242,17.2,23.1,1.9,,2.0
243,,,,,18.23
244,16.0,22.7,2.38,,11.5
245,15.2,29.6,,,
246,21.72,27.08,,,
247,15.2,17.6,8.39,,32.7
248,,,,,21.4
249,,,,,2.337
250,181.0,194.9,,,
251,,,,,8.8
252,148.8,165.1,15.5,,2.5
253,134.8,147.0,19.2,,5.9
254,,20.3240566,5.70052,,
255,,19.1836662,,,
256,,20.3240566,5.70052,,
257,-1.0,-1.0,213.568649,,41.1614838
258,,11.0968218,,,
259,,4.97096,,,
260,-1.0,-1.0,213.568649,,41.1614838
261,,19.0749531,-1.0,,
262,,18.014555,,,
263,,19.0749531,-1.0,,
264,,7.52275,,,
265,,20.82107,6.744808,,
266,,16.3648052,,,
267,,18.3429947,,,
268,,9.072927,,,
269,,17.6096668,,,
270,,8.372636,,,
271,,20.9724445,,,
272,3.025863,4.959433,,,36.2811623
273,,20.82107,6.744808,,
274,,11.0096941,,,
275,,12.1227884,,,
276,,13.6457767,,,
277,,6.550755,,,
278,2.170749,5.631451,,,
279,,4.97096,,,
280,,18.3429947,,,
281,,6.657183,,,
282,,10.3062658,,,
283,,11.5973492,,,
284,,15.753,,,
285,,29.2132778,,,
286,,9.068666,,,
287,,15.4064159,,,
288,,8.88545,,,
289,3.570377,4.698316,,,93.70108
290,6.143436,7.792292,,,
291,,19.4425545,,,
292,,10.1258993,,,
293,,9.611083,,,
294,,17.2205544,,,
295,,8.227525,,,
296,,5.952566,,,
297,,17.0332222,,,
298,,5.655299,,,
299,,16.8636665,,,
300,3.64,,,7.82,
301,0.45,,,12.93,
302,4.23,,,11.21,
303,6.11,,,10.15,
304,4.66,,,22.02,
305,2.8,,,,
306,7.37,,,8.61,
307,3.54,,,5.9,
308,30.92,,,14.24,
309,4.98,,,14.78,
310,4.34,,,34.09,
311,5.53,,,10.31,
312,4.59,,,19.51,
313,10.52,14.8,,7.58,
314,18.31,25.85,,53.09,
315,11.35,15.32,,3.24,54.28
316,8.08,11.52,,8.41,56.86
317,8.85,12.54,,2.95,
