value_id,time_id,location_id
0,0,5137
1,0,5158
2,0,5136
3,0,5163
4,0,5138
5,0,5130
6,0,5145
7,0,5144
8,0,5140
9,0,5162
10,0,5128
11,0,5139
12,0,5134
13,0,4959
14,0,5149
15,1,5125
16,2,1385272
17,3,3517
18,3,5802
19,3,368870
20,3,6151
21,3,368942
22,3,5775
23,3,368912
24,3,6108
25,3,5801
26,3,6079
27,3,5779
28,3,5780
29,3,5788
30,3,5787
31,4,1288070
32,5,1117914
33,2,2453312
34,2,2453304
35,2,2984093
36,2,2453309
37,2,2946436
38,2,2946433
39,2,1235983
40,2,2946434
41,2,2453319
42,6,154
43,6,155
44,6,225713
45,6,149
46,6,152
47,6,225803
48,6,151
49,6,150
50,6,159
51,6,146
52,6,148
53,6,225719
54,6,225715
55,6,225806
56,6,225771
57,6,225766
58,6,225848
59,6,225794
60,7,7564
61,7,8551
62,7,7560
63,7,7545
64,8,7529
65,8,7534
66,8,7527
67,8,7540
68,8,7558
69,9,2162866
70,10,8334
71,11,8535
72,11,8428
73,12,8019
74,13,353013
75,2,2070168
76,2,2857420
77,14,3035984
78,15,3420
79,15,4633
80,15,2876226
81,15,4563
82,15,4550
83,15,2876867
84,15,4641
85,15,4543
86,15,4520
87,15,4596
88,15,4578
89,15,2162102
90,15,4618
91,15,2812
92,15,4585
93,15,4649
94,15,2162066
95,16,4662
96,17,2825320
97,18,3424
98,18,4632
99,19,4665
100,20,3428
101,21,2808
102,21,2751
103,21,2777
104,21,2754
105,21,2787
106,21,2788
107,21,2807
108,21,2784
109,21,2810
110,21,2783
111,21,2809
112,21,2753
113,21,2782
114,21,2799
115,22,3026690
116,2,2848085
117,23,3098
118,23,3071
119,23,3143
120,24,3963
121,24,3945
122,24,3964
123,25,783921
124,25,783935
125,25,783932
126,2,2996392
127,26,3294
128,26,3276
129,26,3229
130,26,3234
131,26,3316
132,26,3291
133,26,786219
134,26,3314
135,26,3355
136,24,1744505
137,24,3298
138,24,3293
139,24,3042186
140,24,3273
141,24,2990
142,24,3042184
143,27,1334443
144,28,896621
145,23,3113
146,23,3093
147,23,2669
148,23,3099
149,23,3090
150,29,2603966
151,2,2403877
152,7,4369
153,7,4387
154,7,4362
155,7,4403
156,7,4389
157,7,4390
158,7,4373
159,7,4401
160,7,4386
161,7,4400
162,7,4404
163,7,4405
164,30,4392
165,7,8357
166,7,2162827
167,7,8303
168,7,8348
169,7,8352
170,7,8356
171,7,8340
172,31,1616223
173,31,278916
174,7,2162110
175,7,8860
176,7,8846
177,7,8856
178,7,8853
179,7,8844
180,32,225850
181,6,225839
182,32,225805
183,6,225765
184,6,225767
185,32,225807
186,6,225787
187,6,230827
188,6,225851
189,6,225801
190,6,225782
191,32,225791
192,6,225802
193,6,225800
194,6,225793
195,26,225744
196,6,225786
197,33,3056381
198,33,3056383
199,34,3056382
200,35,3056384
201,36,227060
202,36,270693
203,37,225755
204,38,225777
205,39,290183
206,40,225776
207,41,225710
208,42,1462792
209,43,225852
210,44,2862784
211,45,927171
212,46,227059
213,47,225770
214,48,225772
215,49,225812
216,49,225808
217,50,225833
218,51,225846
219,52,225811
220,53,225783
221,54,225756
222,55,304892
223,56,225731
224,57,225743
225,58,225735
226,59,225737
227,60,225835
228,61,225838
229,62,225718
230,63,225741
231,64,225842
232,64,270694
233,65,225721
234,66,310238
235,66,310232
236,67,287453
237,68,223717
238,68,223692
239,68,223691
240,69,2937
241,2,2872756
242,6,10775
243,6,60175
244,6,7245
245,6,10776
246,32,6381
247,70,6386
248,71,921170
249,72,8923
250,73,2531
251,73,1050
252,73,28
253,73,2567
254,24,2163120
255,24,2995848
256,24,2163091
257,24,2163078
258,24,2995840
