id,pm25,pm10,so2,no,o3
0,10.0,14.0,3.0,2.0,82.0
1,,13.0,,1.0,80.0
2,,,,1.0,82.0
3,,,,1.0,76.0
4,,,,1.0,77.0
5,3.0,7.0,,2.0,54.63
6,,,,1.0,
7,6.0,10.0,3.0,1.0,
8,,,2.0,1.0,
9,6.0,,,,53.0
10,,,3.0,3.0,84.0
11,,8.0,2.0,1.0,
12,,7.0,2.0,1.0,
13,,,,1.0,75.0
14,6.0,9.0,,1.0,
15,,,3.0,4.0,55.0
16,3.0,6.0,3.0,1.0,87.0
17,,,,,
18,,4.0,4.5,,
19,9.0,14.6,,,24.7
20,,,,,49.9
21,,18.0,,,
22,6.0,,,,
23,,17.0,,,
24,8.0,6.0,,,
25,,16.0,,,
26,,21.0,,,
27,,,,,
28,,10.0,,,
29,,,,,
30,21.0,14.9,,,44.0
31,,,,,
32,,29.0,,,
33,,43.0,,,
34,,28.0,,,
35,3.6,,,11.05,
36,3.58,,,8.69,
37,,,,12.18,
38,16.24,,,13.32,
39,8.23,,,7.57,
40,47.94,,,15.11,
41,5.05,,,11.48,
42,4.59,,,19.51,
43,5.53,,,10.31,
44,2.04,,,17.81,
45,3.91,,,8.62,
46,4.04,,,10.58,
47,6.86,,,13.1,
48,14.93,,,37.67,
49,6.26,,,6.16,
50,7.37,,,8.61,
51,3.64,,,12.48,
52,2.8,,,,
53,4.19,,,6.57,
54,24.1,,,11.54,
55,1.8,,,25.27,
56,5.53,,,,
57,4.66,,,22.02,
58,3.89,,,8.29,
59,13.59,,,26.07,
60,4.6,,,9.63,
61,11.0,30.0,,1.0,31.0
62,,28.0,,12.0,
63,,30.0,,10.0,
64,8.0,25.0,,5.0,44.0
65,,28.0,,3.0,70.0
66,,23.0,-1.0,3.0,64.0
67,13.0,27.0,,2.0,16.0
68,,,,,
69,7.0,22.0,3.5,2.0,37.0
70,8.0,25.0,,5.0,44.0
71,,28.0,,12.0,
72,9.0,27.0,,19.0,
73,6.0,20.0,3.5,4.0,17.0
74,,,,,
75,,,,,20.0
76,,,,,45.0
77,3.0,6.0,1.0,1.0,
78,,,,1.0,73.0
79,,13.0,,1.0,67.0
80,6.0,,,6.0,53.0
81,4.0,9.0,,7.0,
82,4.496103850277987,4.544480453838002,,,
83,2.4516369104385376,2.5418154994646707,,,
84,19.0,33.0,,4.0,1.0
85,34.6708337465922,38.395833810170494,,,
86,11.65,25.33,0.86,16.78,75.03
87,12.37,26.0,,53.09,
88,10.1,23.09,,8.41,90.16
89,10.0,23.58,,2.95,
90,,,,18.85,
91,11.6,23.41,,39.24,
92,,,,4.59,
93,12.07,23.71,,12.07,
94,11.73,24.05,,45.87,
95,10.62,21.96,,7.58,
96,10.11,22.64,,3.24,93.32
97,41.34,49.93,,22.8,
98,6.585952377319336,,,,
99,21.68,30.0,,,
100,5.542207804593173,6.105844150890004,,,
101,7.325000047683716,,,,
102,6.693749984105428,,,,
103,6.899702390034993,7.34375,,,
104,7.395833333333333,,,,
105,5.532589236895244,6.537648757298787,,,
106,6.75580358505249,7.174107273419698,,,
107,7.081101139386495,7.342261910438538,,,
108,8.235416730244955,,,,
109,,,,,37.0
110,,11.0,,,
111,5.0,7.0,1.0,,41.0
112,7.0,13.0,,,
113,4.0,,,,36.0
114,4.0,7.0,0.0,,35.0
115,8.0,25.0,1.0,,22.0
116,5.7,9.0,,,
117,,,,,
118,4.0,,,,
119,,13.2,,,
120,18.7,28.6,,,14.7
121,5.0,,,,
122,5.0,12.0,,,
123,12.0,,,,
124,6.0,9.7,,,
125,5.8,13.8,,,17.8
126,,8.7,,,
127,,12.0,,,
128,1.2,7.5,,,
129,12.1,19.3,,,
130,,13.5,,,
131,4.6,10.6,,,
132,0.9,2.4,,,
133,4.1,7.0,,,45.4
134,7.0,6.0,,,28.6
135,3.9,9.0,,,
136,5.5,12.4,,,
137,,,2.0,,10.0
138,,41.1034,,,
139,19.27535,39.69511,,,
140,20.50767,29.24295,,,14.43531
141,24.40817,37.73918,,,
142,16.03982,26.79046,0.537805,,83.34796
