id,pm25,pm10,so2,no,o3
0,6.0,10.0,1.0,2.0,70.0
1,,4.0,,1.0,79.0
2,,,,1.0,72.0
3,,,,1.0,71.0
4,,,,1.0,78.0
5,1.0,7.0,,2.0,54.63
6,,,,1.0,
7,4.0,8.0,3.0,1.0,
8,,,1.0,1.0,
9,3.0,,,,74.0
10,,,3.0,3.0,72.0
11,,11.0,2.0,1.0,
12,,14.0,2.0,1.0,
13,,,,1.0,66.0
14,7.0,19.0,,1.0,
15,,,3.0,4.0,72.0
16,4.0,8.0,3.0,1.0,77.0
17,1.0,1.0,1.0,1.0,
18,,,,1.0,64.0
19,,22.0,,1.0,76.0
20,3.0,,,6.0,74.0
21,2.0,1.0,,7.0,
22,4.496103850277987,4.544480453838002,,,
23,2.4516369104385376,2.5418154994646707,,,
24,19.0,33.0,,4.0,1.0
25,32.89999977747599,36.10000038146973,,,
26,14.3,38.34,0.86,16.78,105.16
27,15.22,36.06,,53.09,
28,12.81,32.16,,8.41,115.44
29,13.33,35.9,,2.95,
30,,,,18.85,
31,15.12,36.89,,39.24,
32,,,,4.59,
33,15.22,35.6,,12.07,
34,14.08,36.21,,45.87,
35,13.74,33.44,,7.58,
36,13.15,32.23,,3.24,115.98
37,41.34,49.93,,22.8,
38,6.585952377319336,,,,
39,21.68,30.0,,,
40,18.03125015894572,19.54910707473755,,,
41,20.34583330154419,,,,
42,15.510416587193808,,,,
43,17.430952548980713,18.81800587972005,,,
44,19.809027671813965,,,,
45,14.565029780069986,17.192559560139973,,,
46,17.3675594329834,18.80491065979004,,,
47,17.758333524068195,18.748512029647827,,,
48,18.219444433848064,,,,
49,,,,,35.0
50,,40.0,,,
51,5.0,10.0,0.0,,47.0
52,8.0,17.0,,,
53,5.0,,,,27.0
54,6.0,11.0,1.0,,32.0
55,8.0,12.0,1.0,,30.0
56,5.7,17.0,,,
57,,,,,
58,6.0,,,,
59,,15.1,,,
60,6.2,11.4,,,50.4
61,4.0,,,,
62,7.0,13.0,,,
63,13.0,,,,
64,4.0,19.3,,,
65,9.6,21.7,,,17.8
66,,2.1,,,
67,,10.0,,,
68,4.7,11.5,,,
69,7.2,13.9,,,
70,,8.8,,,
71,6.5,11.9,,,
72,1.6,2.3,,,
73,6.0,11.5,,,47.0
74,6.0,13.0,,,26.6
75,3.9,14.0,,,
76,6.5,10.9,,,
77,,7.8,,,
78,,9.6,,,42.4
79,8.0,11.6,,,
80,12.0,11.0,,,
81,,14.0,,,
82,,6.3,,,
83,4.0,26.4,,,
84,0.0,0.0,,,
85,,18.4,,,
86,,9.8,,,
87,,,,,22.4
88,15.614583253860474,41.03685474395752,,,
89,,18.7,,,
90,26.0699405670166,26.928571224212646,,,
91,21.0,51.0,,,
92,,,,,7.9
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,4.0,4.5,,
98,9.0,14.6,,,24.7
99,,,,,49.9
100,,18.0,,,
101,6.0,,,,
102,,17.0,,,
103,8.0,6.0,,,
104,,16.0,,,
105,,21.0,,,
106,,,,,
107,,10.0,,,
108,,,,,
109,21.0,14.9,,,44.0
110,,,,,
111,,29.0,,,
112,,43.0,,,
113,,28.0,,,
114,3.6,,,11.05,
115,3.58,,,8.69,
116,,,,12.18,
117,16.24,,,13.32,
118,8.23,,,7.57,
119,47.94,,,15.11,
120,5.05,,,11.48,
121,4.59,,,19.51,
122,5.53,,,10.31,
123,2.04,,,17.81,
124,3.91,,,8.62,
125,4.04,,,10.58,
126,6.86,,,13.1,
127,14.93,,,37.67,
128,6.26,,,6.16,
129,7.37,,,8.61,
130,3.64,,,12.48,
131,2.8,,,,
132,4.19,,,6.57,
133,24.1,,,11.54,
134,1.8,,,25.27,
135,5.53,,,,
136,4.66,,,22.02,
137,3.89,,,8.29,
138,13.59,,,26.07,
139,4.6,,,9.63,
140,17.0,26.0,,0.0,55.0
141,,28.0,,6.0,
142,,28.0,,1.0,
143,14.0,28.0,,5.0,39.0
144,,28.0,,0.0,56.0
145,,24.0,-1.0,4.0,56.0
146,16.0,27.0,,5.0,41.0
147,,,,,
148,12.0,28.0,2.8,1.0,79.0
149,14.0,28.0,,5.0,39.0
150,,30.0,,7.0,
151,15.0,31.0,,15.0,
152,12.0,28.0,2.8,1.0,54.0
153,,,,,
154,,,,,20.0
155,,,,,45.0
156,,,2.0,,10.0
157,,30.89201,,,
158,17.18487,41.50973,,,
159,13.61192,22.00338,,,30.90543
160,12.87509,25.02765,,,
161,14.01642,17.7481,0.75498,,85.72162
