location name,lat,lon,day,time,pm2.5,pm10,so2,no2,o3,co,no,nox
London Marylebone Road,51.52253,-0.154611,2024-09-05,07:00:00+00:00,8.0,12.0,1.0,2.0,30.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-05,06:00:00+00:00,8.0,12.0,1.0,2.0,30.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-05,05:00:00+00:00,8.0,13.0,1.0,2.0,31.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-05,04:00:00+00:00,8.0,13.0,1.0,2.0,32.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-05,03:00:00+00:00,8.0,13.0,1.0,2.0,33.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-05,02:00:00+00:00,8.0,12.0,1.0,2.0,34.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-05,01:00:00+00:00,8.0,12.0,1.0,4.0,36.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-05,00:00:00+00:00,8.0,12.0,1.0,4.0,37.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,22:00:00+00:00,9.0,13.0,1.0,10.0,39.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,21:00:00+00:00,8.0,13.0,1.0,12.0,38.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,20:00:00+00:00,8.0,13.0,1.0,15.0,37.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,19:00:00+00:00,8.0,13.0,1.0,15.0,36.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,18:00:00+00:00,8.0,13.0,1.0,16.0,35.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,17:00:00+00:00,8.0,13.0,1.0,17.0,32.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,16:00:00+00:00,8.0,13.0,1.0,18.0,30.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,15:00:00+00:00,8.0,13.0,1.0,14.0,28.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,14:00:00+00:00,8.0,13.0,1.0,15.0,24.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,13:00:00+00:00,8.0,12.0,1.0,19.0,21.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,12:00:00+00:00,8.0,12.0,1.0,12.0,20.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,11:00:00+00:00,8.0,12.0,1.0,16.0,19.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,10:00:00+00:00,8.0,12.0,2.0,17.0,20.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,09:00:00+00:00,8.0,12.0,1.0,16.0,19.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,08:00:00+00:00,8.0,13.0,,14.5,26.2,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,07:00:00+00:00,,,,18.9,,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,06:00:00+00:00,,,0.7,21.5,,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,05:00:00+00:00,,,0.7,18.8,,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,04:00:00+00:00,,,0.1,13.9,,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,03:00:00+00:00,,,0.4,8.5,,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,02:00:00+00:00,,,0.5,6.9,,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,01:00:00+00:00,,,0.6,,,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-04,00:00:00+00:00,6.0,11.0,1.0,22.0,25.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,23:00:00+00:00,,,,19.2,,,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,22:00:00+00:00,6.0,11.0,1.0,16.0,28.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,21:00:00+00:00,6.0,11.0,1.0,22.0,28.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,20:00:00+00:00,6.0,11.0,2.0,29.0,28.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,19:00:00+00:00,6.0,10.0,1.0,19.0,28.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,18:00:00+00:00,5.0,10.0,1.0,14.0,26.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,17:00:00+00:00,5.0,10.0,1.0,18.0,23.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,16:00:00+00:00,6.0,11.0,1.0,17.0,19.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,15:00:00+00:00,6.0,11.0,1.0,18.0,15.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,14:00:00+00:00,6.0,12.0,2.0,29.0,12.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,13:00:00+00:00,6.0,12.0,3.0,49.0,11.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,12:00:00+00:00,6.0,13.0,2.0,45.0,11.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,11:00:00+00:00,7.0,13.0,3.0,53.0,12.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,10:00:00+00:00,6.0,14.0,3.0,36.0,15.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,09:00:00+00:00,,,,30.6,14.7,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,08:00:00+00:00,8.0,16.0,,30.3,,200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,07:00:00+00:00,8.0,16.0,,31.7,,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,06:00:00+00:00,8.0,15.0,1.8,32.1,25.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,05:00:00+00:00,8.0,15.0,1.1,25.2,25.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,04:00:00+00:00,8.0,15.0,1.0,6.0,25.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,03:00:00+00:00,8.0,15.0,1.0,6.0,25.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,02:00:00+00:00,8.0,15.0,1.0,6.0,25.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,01:00:00+00:00,8.0,15.0,1.0,14.0,24.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-03,00:00:00+00:00,8.0,16.0,1.0,14.0,24.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,22:00:00+00:00,10.0,18.0,2.0,24.0,25.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,21:00:00+00:00,11.0,19.0,2.0,27.0,26.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,20:00:00+00:00,11.0,20.0,2.0,30.0,26.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,19:00:00+00:00,12.0,21.0,2.0,36.0,26.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,18:00:00+00:00,12.0,22.0,2.0,39.0,25.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,17:00:00+00:00,13.0,22.0,2.0,37.0,24.0,,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,16:00:00+00:00,13.0,22.0,2.0,44.0,22.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,15:00:00+00:00,13.0,23.0,2.0,57.0,20.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,14:00:00+00:00,13.0,23.0,2.0,41.0,19.0,200.0,,
